User_id,User_name,DOB,PIN,City,State,Married,No_of_children,No_of_dependents,Source_of_income,Age
U100845,Arjun Patil,1994-07-13,826002,Dhanbad,Jharkhand,0,0,5,Software Engineer,29
U100879,Nisha Sengupta,1999-07-06,827002,Bokaro,Jharkhand,1,0,1,Software Engineer,25
U100997,Kiara Sethi,1996-09-14,831004,Jamshedpur,Jharkhand,0,0,1,Farmer,27
U100855,Vihaan Rao,1999-06-03,825304,Hazaribagh,Jharkhand,1,3,5,Engineer,25
U100988,Priya Chaudhary,1994-11-13,834002,Ranchi,Jharkhand,0,0,3,Manager,29
U100920,Ishita Kulkarni,1988-09-16,827003,Bokaro,Jharkhand,0,0,5,Teacher,35
U100935,Arjun Mukherjee,1991-06-20,834004,Ranchi,Jharkhand,1,1,5,Accountant,33
U100952,Karan Kulkarni,1990-12-27,825302,Hazaribagh,Jharkhand,0,0,2,Clerk,33
U100981,Dhruv Chatterjee,1999-03-31,825302,Hazaribagh,Jharkhand,1,3,4,Farmer,25
U100992,Diya Iyer,1993-07-27,815301,Giridih,Jharkhand,1,3,3,Software Engineer,30
U100901,Avni Sharma,1994-10-12,834005,Ranchi,Jharkhand,0,0,5,Salesperson,29
U100975,Arjun Reddy,1996-08-10,831003,Jamshedpur,Jharkhand,0,0,0,Doctor,27
U100967,Diya Dutta,1991-09-15,834008,Ranchi,Jharkhand,0,0,2,Teacher,32
U100924,Tara Kapoor,1994-04-15,825304,Hazaribagh,Jharkhand,1,0,4,Accountant,30
U100964,Ishaan Joshi,1997-09-08,834005,Ranchi,Jharkhand,1,3,1,Farmer,26
U100971,Dhruv Dutta,1996-09-24,815304,Giridih,Jharkhand,0,0,4,Manager,27
U100897,Ishaan Sarkar,1994-11-20,834009,Ranchi,Jharkhand,0,0,2,Manager,29
U100944,Ishaan Kamath,1993-07-31,825302,Hazaribagh,Jharkhand,1,3,5,Farmer,30
U100944,Ishaan Chatterjee,1995-07-20,826003,Dhanbad,Jharkhand,1,2,5,Nurse,28
U100877,Priya Dutta,1997-04-19,834005,Ranchi,Jharkhand,0,0,0,Manager,27
U100994,Nisha Mehra,1999-01-07,814113,Deoghar,Jharkhand,1,1,3,Doctor,25
U100852,Arjun Reddy,1996-04-28,827004,Bokaro,Jharkhand,0,0,5,Clerk,28
U100852,Dhruv Naik,1990-07-22,834002,Ranchi,Jharkhand,0,0,5,Nurse,33
U100966,Dhruv Verma,1991-08-30,827001,Bokaro,Jharkhand,1,3,3,Accountant,32
U100953,Yash Chatterjee,1995-10-21,831001,Jamshedpur,Jharkhand,0,0,1,Manager,28
U100899,Priya Pai,1995-09-24,815302,Giridih,Jharkhand,0,0,2,Engineer,28
U100906,Diya Desai,1989-05-01,825303,Hazaribagh,Jharkhand,0,0,1,Engineer,35
U100997,Priya Kapoor,1994-06-12,831001,Jamshedpur,Jharkhand,1,3,2,Manager,30
U100864,Karan Verma,1998-04-11,831002,Jamshedpur,Jharkhand,0,0,5,Software Engineer,26
U100907,Dhruv Reddy,1995-08-08,834009,Ranchi,Jharkhand,0,0,2,Engineer,28
U100878,Rohan Joshi,1997-05-22,814115,Deoghar,Jharkhand,0,0,2,Accountant,27
U100944,Rohan Kamath,1994-08-30,834006,Ranchi,Jharkhand,1,0,4,Software Engineer,29
U100810,Karan Majumdar,1990-11-24,814113,Deoghar,Jharkhand,1,1,2,Farmer,33
U100964,Vihaan Malhotra,1996-06-10,827003,Bokaro,Jharkhand,1,1,4,Software Engineer,28
U100882,Karan Sengupta,1993-02-26,815301,Giridih,Jharkhand,1,1,3,Accountant,31
U100893,Aryan Mehta,1996-05-10,826003,Dhanbad,Jharkhand,1,3,5,Salesperson,28
U100898,Yash Pai,1997-08-27,826003,Dhanbad,Jharkhand,1,0,1,Accountant,26
U100966,Alia Mehta,1997-08-31,834008,Ranchi,Jharkhand,1,2,1,Farmer,26
U100948,Tara Kapoor,1992-03-21,815303,Giridih,Jharkhand,0,0,2,Engineer,32
U100995,Aisha Deshpande,1997-09-16,814115,Deoghar,Jharkhand,1,5,5,Doctor,26
U100851,Nisha Rane,1992-06-13,831003,Jamshedpur,Jharkhand,0,0,0,Salesperson,32
U100830,Kiara Banerjee,1994-10-07,815301,Giridih,Jharkhand,0,0,7,Nurse,29
